## TT                      EE                      BB                      TE 
   7.888533447453e-01      7.993345006888e-01      8.039502788262e-01      7.940766300797e-01      
   7.921771650026e-01      7.989536887872e-01      8.049475322090e-01      7.955582116676e-01      
   7.961933217799e-01      7.987938628932e-01      8.057078511348e-01      7.974925323251e-01      
   8.005357168486e-01      7.986279626941e-01      8.061981452031e-01      7.995812707978e-01      
   8.047984132817e-01      7.985029314387e-01      8.064252748976e-01      8.016444924171e-01      
   8.085644225116e-01      7.984969856119e-01      8.064337372552e-01      8.035149370414e-01      
   8.116107031987e-01      7.986682467367e-01      8.062984320847e-01      8.051134686220e-01      
   8.139433476246e-01      7.989377958111e-01      8.061135242122e-01      8.064056696640e-01      
   8.157137354068e-01      7.997827351065e-01      8.059789637544e-01      8.077089589497e-01      
   8.173893544584e-01      8.009750992731e-01      8.059865717338e-01      8.091406054154e-01      
   8.194089163340e-01      8.027870365387e-01      8.062076608304e-01      8.110553961704e-01      
   8.223381759228e-01      8.052608923108e-01      8.066839028875e-01      8.137547378202e-01      
   8.266626204897e-01      8.083655041341e-01      8.074226106176e-01      8.174628713043e-01      
   8.326060457829e-01      8.119866049811e-01      8.083968782048e-01      8.222316926524e-01      
   8.401851843622e-01      8.159300691502e-01      8.095502728652e-01      8.279688131661e-01      
